Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
01/01/20,"APT 1 LEE HOUSE, STRAND LANE  THE QUAY, CARRICK ON SUIR",,Tipperary,"€ 1,20,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/01/20,"Lands at Cliffor'd Field, Treanoughtragh, Glenbeigh",,Kerry,"€ 2,48,681.00",No,Yes,New Dwelling house /Apartment,
01/01/20,"ROSSACOOSANE, TEMPLENOE, KENMARE",,Kerry,"€ 4,50,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/01/20,"Site 4, Clifford's Field, Treanoughtragh",,Kerry,"€ 2,86,950.00",No,Yes,New Dwelling house /Apartment,
02/01/20,"105 DONAGHMORE, THE ANCHORAGE, BETTYSTOWN",,Meath,"€ 1,25,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"109 Cedar Walk, Castleoaks, Dublin Road",,Carlow,"€ 2,11,410.00",No,Yes,New Dwelling house /Apartment,
02/01/20,"11 OAK GLADE COURT, BLESSINGTON RD, NAAS",,Kildare,"€ 2,04,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"11 WELLINGTON ST, WATERFORD, WATERFORD",,Waterford,"€ 60,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"12 WHITECLIFF, WHITECHURCH RD, RATHFARNHAM DUBLIN 16",Dublin 16,Dublin,"€ 5,65,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"125 MILL TOWN HALL, MT ST ANNES, MILLTOWN",Dublin 6,Dublin,"€ 5,88,500.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"13 BLOCK C, THE HARBOUR, CANAL SIDE",,Kildare,"€ 40,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"15 BLOCK C, THE HARBOUR CANALSIDE, ATHY",,Kildare,"€ 40,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"16 BLOCK C, THE HARBOUR CANALSIDE, ATHY",,Kildare,"€ 52,500.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"16 CHERRY DR, GLENCAIRIN, DOORADOYLE",,Limerick,"€ 2,42,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"16 Marlmount Walk, Dundalk",,Louth,"€ 2,33,481.00",No,Yes,New Dwelling house /Apartment,
02/01/20,"16 STRATFORD HAVEN, RATHGAR, DUBLIN 6",Dublin 6,Dublin,"€ 2,32,500.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"17 BLOCK C, THE HARBOUR CANALSIDE, ATHY",,Kildare,"€ 40,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"18 OAKWOOD RETIREMENT VILLAGE, HAWTHORN DRIVE, ROSCOMMON",,Roscommon,"€ 55,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"20 ST EITHNE ROAD, CABRA, DUBLIN 7",,Dublin,"€ 3,60,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"22 Athlumney Close, Kentstown Road, Navan",,Meath,"€ 2,59,911.00",No,Yes,New Dwelling house /Apartment,
02/01/20,"26 WATERVILLE HOLIDAY HOMES, WATERVILLE, KERRY",,Kerry,"€ 1,38,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"3  The Orchard, Gleann Ull, Ballyhooly",,Cork,"€ 2,20,264.32",No,Yes,New Dwelling house /Apartment,
02/01/20,"30 BLOCK C, HARBOUR CANALSIDE, ATHY",,Kildare,"€ 40,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"32 THE BLOCK C, THE HARBOUR CANALSIDE, ATHY",,Kildare,"€ 40,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"34 BLOCK C, HARBOUR CANALSIDE, ATHY",,Kildare,"€ 40,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"4 Belarmine View, Belarmine Woods, Stepaside",,Dublin,"€ 5,55,066.07",No,Yes,New Dwelling house /Apartment,
02/01/20,"41 Fairhaven Avenue, Castleknock Road, Castleknock",,Dublin,"€ 6,60,000.00",No,Yes,New Dwelling house /Apartment,
02/01/20,"44 CASTLE FALLS, ROSS RD, KILLARNEY",,Kerry,"€ 2,85,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"47 BLOCK C, HARBOUR CANALSIDE, ATHY",,Kildare,"€ 40,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"48 BLOCK C, HARBOUR CANALSIDE, ATHY",,Kildare,"€ 45,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"49 BLOCK C, HARBOUR, CANALSIDE",,Kildare,"€ 40,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"5 WILLIAM BECKETT HOUSE, PEMBROKE ROW, DUBLIN",Dublin 2,Dublin,"€ 6,24,600.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"50 BLOCK C, HARBOUR CANALSIDE, ATHY",,Kildare,"€ 52,500.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"51 BLOCK C, HARBOUR CANALSIDE, ATHY",,Kildare,"€ 40,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"53 Cnoc Tiarnach, Grange End, Dunshaughlin",,Meath,"€ 3,39,207.05",No,Yes,New Dwelling house /Apartment,
02/01/20,"53 INIS CLAIR, KILDYSART RD, CLARECASTLE",,Clare,"€ 2,05,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"7 HAYDENS PARK DR, LUCAN, DUBLIN",,Dublin,"€ 4,78,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"7 MAPLEWOOD RD, SPRINGFIELD, TALLAGHT DUBLIN 24",Dublin 24,Dublin,"€ 2,08,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"99 RIVERSIDE, PORTARLINGTON, OFFALY",,Offaly,"€ 58,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"APARTMENT 311, SWIFTWOOD DEVELOPMENT, SAGGART",,Dublin,"€ 2,50,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"APT 2 STOCKWELL CLOSE, STOCKWELL ST, DROGHEDA",,Louth,"€ 1,00,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"CASTLEREAGH, BALLYMACARBERY, WATERFORD",,Waterford,"€ 1,60,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"GRAIGUE, NEW ROAD, MOUNTMELLICK",,Laois,"€ 1,68,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"KILADEN, DRUMCONRATH, NAVAN",,Meath,"€ 1,00,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"KILLUPPAN AHASCRAGH, BALLINASLOE, GALWAY",,Galway,"€ 64,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"MILL RD, KINLOUGH, LEITRIM",,Leitrim,"€ 1,80,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"NANOOK, CASTLEFARM, MONKSTOWN",,Cork,"€ 3,65,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"SHALVEY, KILCAR, DONEGAL",,Donegal,"€ 60,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/20,"THE COTTAGE, BARRACK STREET, TALLOW",,Waterford,"€ 63,750.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/20,"1 CHAPEL VIEW, LUCAN, DUBLIN",,Dublin,"€ 2,50,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/20,"1 LAUREL COURT, LOUGHBOY, KILKENNY",,Kilkenny,"€ 1,93,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/20,"1 Millquarter, Knockmullen, Gorey",,Wexford,"€ 3,09,493.00",No,Yes,New Dwelling house /Apartment,
03/01/20,"126 BALLINTEER CLOSE, BALLINTEER, DUBLIN 16",Dublin 16,Dublin,"€ 6,40,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/20,"134 SLI GHEAL BALLYMONEEN RD, GALWAY",,Galway,"€ 2,75,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/20,"144 WEST AVE, PARKGATE, FRANKFIELD",,Cork,"€ 91,104.32",Yes,No,Second-Hand Dwelling house /Apartment,
03/01/20,"15 Maydenhayes Crescent, Mornington, Co Meath",,Meath,"€ 3,00,881.06",No,Yes,New Dwelling house /Apartment,
03/01/20,"16 BRUACH NO SIONNA, O'BRIENS BRIDGE, CO CLARE",,Clare,"€ 1,02,500.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/20,"16 FATHER FLOOD PARK, DUNDERRY, NAVAN",,Meath,"€ 1,50,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/20,"17 INNISHMAAN RD, GAELTACHT PARK, WHITEHALL DUBLIN 9",Dublin 9,Dublin,"€ 2,66,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/20,"17 THE WILLOWS, CLOONBALT, LONGFORD",,Longford,"€ 1,40,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/20,"19 Proby Place  Proby Square, Carysfort Avenue, Blackrock",,Dublin,"€ 8,81,057.27",No,Yes,New Dwelling house /Apartment,
03/01/20,"19 WASHINGTON COURT, CORK, CORK",,Cork,"€ 2,25,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/20,"2 ASHE ROAD, SHANTALLA, GALWAY",,Galway,"€ 2,70,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/20,"20 SWIFTBROOK PARK, TALLAGHT, DUBLIN 24",Dublin 24,Dublin,"€ 1,40,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/20,"21 MERRION VIEW AVE, MERRION RD, DUBLIN 4",Dublin 4,Dublin,"€ 10,30,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/20,"27 RAVENSDALE RD, EAST WALL, DUBLIN 3",Dublin 3,Dublin,"€ 3,10,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/20,"28 LAKEVIEW, VIRGINIA, CAVAN",,Cavan,"€ 1,85,000.00",No,No,Second-Hand Dwelling house /Apartment,
