county,avg_price,min_price,max_price,total_sales
Dublin,453047.0,10000.0,19946964.0,90369
Wicklow,384492.0,10000.0,15244931.0,9909
Kildare,327600.0,10000.0,15795530.0,15562
Meath,294438.0,10000.0,15861234.0,12078
Cork,271272.0,10000.0,18300000.0,31597
Galway,251807.0,10000.0,11596998.0,13898
Louth,242533.0,10000.0,19885952.0,8017
Kilkenny,238180.0,10000.0,11839729.0,4656
Limerick,225302.0,10000.0,14757788.0,10532
Laois,213883.0,10000.0,11563056.0,4824
Wexford,213631.0,10000.0,8700000.0,10143
Waterford,207258.0,10000.0,10422730.0,7812
Westmeath,204758.0,10000.0,14000000.0,5564
Clare,203415.0,10000.0,8603272.0,6458
Kerry,202656.0,10000.0,16472967.0,7761
Carlow,195081.0,10000.0,6295000.0,3208
Offaly,187224.0,10000.0,12984238.0,3748
Tipperary,176333.0,10000.0,6230344.0,7619
Sligo,166979.0,10000.0,3504000.0,4117
Monaghan,160541.0,10000.0,3383260.0,2259
Cavan,159932.0,10000.0,5775477.0,4272
Mayo,159552.0,10000.0,7762438.0,6669
Donegal,145077.0,10000.0,4464915.0,7547
Roscommon,140396.0,10000.0,4970000.0,4102
Leitrim,131747.0,10000.0,1620000.0,2485
Longford,129660.0,10000.0,2490000.0,2384
