year,is_dublin,avg_price,total_sales
2010,Rest of Ireland,200381.0,5140
2010,Dublin,325482.0,2619
2011,Rest of Ireland,169065.0,4610
2011,Dublin,302749.0,2196
2012,Rest of Ireland,147132.0,5674
2012,Dublin,279865.0,3275
2013,Rest of Ireland,142139.0,7014
2013,Dublin,311497.0,3740
2014,Rest of Ireland,144135.0,10239
2014,Dublin,335281.0,5438
2015,Rest of Ireland,159342.0,11860
2015,Dublin,344582.0,5494
2016,Rest of Ireland,172296.0,12534
2016,Dublin,388124.0,5638
2017,Rest of Ireland,190233.0,13512
2017,Dublin,415980.0,6650
2018,Rest of Ireland,203569.0,13818
2018,Dublin,426480.0,6491
2019,Rest of Ireland,215718.0,15598
2019,Dublin,433957.0,6850
2020,Rest of Ireland,227610.0,12591
2020,Dublin,452169.0,5478
2021,Rest of Ireland,256002.0,15568
2021,Dublin,502017.0,6406
2022,Rest of Ireland,283523.0,16337
2022,Dublin,540601.0,6885
2023,Rest of Ireland,301992.0,15670
2023,Dublin,537980.0,6637
2024,Rest of Ireland,317820.0,16056
2024,Dublin,585402.0,7176
2025,Rest of Ireland,350145.0,16061
2025,Dublin,614177.0,7377
2026,Rest of Ireland,349115.0,4939
2026,Dublin,601094.0,2019
