year,month,avg_price,total_sales
2010,1,241077.0,831
2010,2,233891.0,519
2010,3,240298.0,559
2010,4,254894.0,608
2010,5,255903.0,666
2010,6,226650.0,593
2010,7,237274.0,523
2010,8,245498.0,721
2010,9,242676.0,687
2010,10,247688.0,699
2010,11,241988.0,571
2010,12,239654.0,782
2011,1,197608.0,650
2011,2,216912.0,547
2011,3,215962.0,444
2011,4,218918.0,569
2011,5,214079.0,534
2011,6,203940.0,475
2011,7,207473.0,713
2011,8,210829.0,622
2011,9,211710.0,595
2011,10,210653.0,496
2011,11,217059.0,648
2011,12,224797.0,513
2012,1,193536.0,950
2012,2,194043.0,800
2012,3,194017.0,787
2012,4,193172.0,661
2012,5,188781.0,872
2012,6,199265.0,700
2012,7,218594.0,674
2012,8,176962.0,600
2012,9,177561.0,657
2012,10,193287.0,750
2012,11,205584.0,607
2012,12,210877.0,891
2013,1,191345.0,906
2013,2,202820.0,781
2013,3,191739.0,698
2013,4,185734.0,1052
2013,5,218439.0,919
2013,6,254071.0,875
2013,7,191318.0,780
2013,8,192719.0,969
2013,9,204411.0,745
2013,10,190344.0,885
2013,11,187747.0,1056
2013,12,204909.0,1088
2014,1,218160.0,1132
2014,2,207726.0,946
2014,3,205862.0,1428
2014,4,205958.0,1269
2014,5,205259.0,1227
2014,6,224679.0,1226
2014,7,213215.0,1551
2014,8,214661.0,1074
2014,9,202332.0,1157
2014,10,209266.0,1569
2014,11,212680.0,1568
2014,12,206397.0,1530
2015,1,215209.0,1418
2015,2,220790.0,1623
2015,3,213421.0,1205
2015,4,221282.0,1366
2015,5,210810.0,1232
2015,6,207439.0,1521
2015,7,229883.0,1119
2015,8,208666.0,1411
2015,9,228948.0,1690
2015,10,216738.0,1680
2015,11,235719.0,1499
2015,12,206727.0,1590
2016,1,240604.0,1605
2016,2,245476.0,1370
2016,3,231376.0,1241
2016,4,243375.0,1512
2016,5,231744.0,1609
2016,6,250204.0,1307
2016,7,245811.0,1625
2016,8,241431.0,1819
2016,9,238170.0,1536
2016,10,240851.0,1307
2016,11,239432.0,1561
2016,12,224606.0,1680
2017,1,265837.0,1706
2017,2,266975.0,1428
2017,3,264530.0,1761
2017,4,264235.0,1534
2017,5,256996.0,1443
2017,6,277312.0,1965
2017,7,269306.0,1758
2017,8,260902.0,1708
2017,9,258300.0,1437
2017,10,269710.0,2009
2017,11,258403.0,1576
2017,12,258935.0,1837
2018,1,273488.0,1465
2018,2,296163.0,1448
2018,3,273016.0,1475
2018,4,270216.0,1417
2018,5,285774.0,1894
2018,6,268246.0,1798
2018,7,283478.0,1633
2018,8,275527.0,1624
2018,9,263065.0,1851
2018,10,276077.0,1695
2018,11,249877.0,1722
2018,12,282897.0,2287
2019,1,316680.0,2120
2019,2,258857.0,1717
2019,3,263394.0,1526
2019,4,283349.0,2076
2019,5,281919.0,1819
2019,6,276406.0,1667
2019,7,270416.0,1579
2019,8,278926.0,1816
2019,9,296696.0,1618
2019,10,281202.0,1742
2019,11,284458.0,2374
2019,12,283656.0,2394
2020,1,309129.0,1216
2020,2,284830.0,1612
2020,3,280076.0,1590
2020,4,288791.0,1461
2020,5,278419.0,1206
2020,6,286948.0,1467
2020,7,283494.0,1492
2020,8,277375.0,1304
2020,9,313570.0,1769
2020,10,320351.0,1784
2020,11,319376.0,1763
2020,12,291719.0,1405
2021,1,331523.0,2268
2021,2,316528.0,1576
2021,3,337989.0,1786
2021,4,310158.0,1551
2021,5,326144.0,1875
2021,6,324689.0,1430
2021,7,334147.0,1566
2021,8,308520.0,2186
2021,9,320405.0,2082
2021,10,348411.0,1895
2021,11,333564.0,1692
2021,12,338982.0,2067
2022,1,353565.0,2113
2022,2,383918.0,1712
2022,3,364312.0,1605
2022,4,351600.0,1998
2022,5,351755.0,1579
2022,6,352678.0,1538
2022,7,356377.0,2353
2022,8,346342.0,2182
2022,9,378299.0,2155
2022,10,363911.0,1898
2022,11,351041.0,2170
2022,12,366114.0,1919
2023,1,361228.0,1927
2023,2,350131.0,1650
2023,3,349223.0,2276
2023,4,377098.0,1775
2023,5,359955.0,1699
2023,6,353707.0,2111
2023,7,401110.0,1625
2023,8,435740.0,2027
2023,9,352284.0,1681
2023,10,366074.0,1908
2023,11,387801.0,1699
2023,12,374279.0,1929
2024,1,402025.0,1828
2024,2,391949.0,1878
2024,3,399584.0,1549
2024,4,393858.0,1990
2024,5,422847.0,1912
2024,6,447072.0,1797
2024,7,398990.0,1673
2024,8,390904.0,1991
2024,9,415354.0,2011
2024,10,384116.0,1968
2024,11,381256.0,2096
2024,12,386785.0,2539
2025,1,428102.0,1797
2025,2,422496.0,1659
2025,3,435249.0,1911
2025,4,438222.0,1992
2025,5,499986.0,1776
2025,6,421778.0,1692
2025,7,410803.0,2073
2025,8,446226.0,1680
2025,9,426529.0,1920
2025,10,440397.0,2359
2025,11,413309.0,2338
2025,12,425037.0,2241
2026,1,437339.0,496
2026,2,458916.0,490
2026,3,425631.0,368
2026,4,425748.0,392
2026,5,433210.0,714
2026,6,416109.0,871
2026,7,384491.0,400
2026,8,428153.0,532
2026,9,431494.0,797
2026,10,405563.0,640
2026,11,374892.0,498
2026,12,433027.0,760
