year,is_new,avg_price,total_sales
2010,Second-Hand,251220.0,5801
2010,New Build,217093.0,1958
2011,Second-Hand,216247.0,5841
2011,New Build,187698.0,965
2012,Second-Hand,197371.0,7873
2012,New Build,183536.0,1076
2013,Second-Hand,205756.0,9500
2013,New Build,165295.0,1254
2014,Second-Hand,213275.0,13471
2014,New Build,193122.0,2206
2015,Second-Hand,217954.0,15325
2015,New Build,218233.0,2029
2016,Second-Hand,236145.0,15773
2016,New Build,259728.0,2399
2017,Second-Hand,257947.0,16931
2017,New Build,300029.0,3231
2018,Second-Hand,263721.0,16562
2018,New Build,323843.0,3747
2019,Second-Hand,272194.0,18219
2019,New Build,325909.0,4229
2020,Second-Hand,273050.0,14396
2020,New Build,384426.0,3673
2021,Second-Hand,308843.0,18316
2021,New Build,422249.0,3658
2022,Second-Hand,340631.0,19173
2022,New Build,450245.0,4049
2023,Second-Hand,349102.0,18136
2023,New Build,472662.0,4171
2024,Second-Hand,376688.0,18320
2024,New Build,489177.0,4912
2025,Second-Hand,410553.0,17827
2025,New Build,505351.0,5611
2026,Second-Hand,411768.0,5289
2026,New Build,455392.0,1669
