<<<<<<< HEAD
year,avg_price,min_price,max_price,total_sales
2010,242608.0,10000.0,5141700.0,7759
2011,212199.0,10000.0,3504000.0,6806
2012,195708.0,10000.0,15785185.0,8949
2013,201038.0,10000.0,13389846.0,10754
2014,210439.0,10000.0,19946964.0,15677
2015,217986.0,10000.0,15176000.0,17354
2016,239258.0,10000.0,15450000.0,18172
2017,264690.0,10000.0,18300000.0,20162
2018,274814.0,10000.0,15778531.0,20309
2019,282313.0,10000.0,15507048.0,22448
2020,295690.0,10000.0,17621145.0,18069
2021,327722.0,10000.0,17200000.0,21974
2022,359743.0,10000.0,19552000.0,23222
2023,372206.0,10000.0,16872247.0,22307
2024,400472.0,10000.0,17328212.0,23232
2025,433247.0,10000.0,19885952.0,23438
2026,422232.0,10000.0,11596998.0,6958
=======
year,avg_price,total_sales
,318052.64,49333
>>>>>>> 9615b6eb1df91d666e09a27a0160fbf6acbc7196
